RH;EFONELFO;4.0;NO910478656MVA;NO000000000MVA;0;0;20130404;20140404;NOK;H;Alsell Norge AS;Vestre Svanholmen 4;;4313;SANDNES;NO
RL;5;P25611;;5500;Isiflo 
RL;5;P30751;;4780;Deler for kabelrør 
RL;5;P30771;;5920;PP avløpsdeler 110 - 160 - 200
RL;5;P307710;;6720;PVC avløpsrør 200 
RL;5;P307711;;6080;PVC avløpsrør 250-315-400 
RL;5;P307712;;6770;PVC avløpsrør 75 - 125 
RL;5;P30772;;5420;PP avløpsdeler 250-315-400 
RL;5;P30773;;5770;PP avløpsdeler 75 - 125 
RL;5;P30774;;6850;PP avløpsrør 110 - 160 
RL;5;P30775;;6720;PP avløpsrør 200 
RL;5;P30776;;6310;PP avløpsrør 75 -125 
RL;5;P30777;;5270;PVC avløpsdeler 110-160-200 
RL;5;P30778;;5420;PVC avløpsdeler 250-315-400 
RL;5;P30779;;5420;PVC avløpsdeler 75 - 125 
RL;5;P30780;;5840;PVC avløpsrør 75 - 125 
RL;5;P30781;;5760;PVC avløpsrør 110 - 160 
RL;5;P30782;;5680;PVC avløpsrør 200 
RL;5;P30783;;5820;PVC avløpsrør 250-315-400 
RL;5;P31001;;5900;Deler for drens/overvannsrør 
RL;5;P31041;;5830;Korr drensrør i kveil 
RL;5;P31051;;5450;Icopal produkter 
RL;5;P31061;;5750;Overvann, dren og infilt.rør 
RL;5;P31131;;4740;Kabelrør 
RL;5;P32101;;5770;Kummer Wavin 
RL;5;P32451;;4000;Samletanker og sisterner 
RL;5;P32452;;4160;Slamavskillere 
RL;5;P32459;;3930;Fordelings og pumpekummer 
RL;5;P32561;;5570;Fiberduk 
RL;5;P32671;;5570;Jordarmering/Asfaltarmering 
RL;5;P33001;;4830;Kumlokk og rammer NS 
RL;5;P33002;;4770;Kumlokk og rammer 
RL;5;P33021;;4710;Gatesluk m/utstyr 
RL;5;P33101;;4800;Anboringskl.og anb. Vent. 
RL;5;P33181;;4990;Notap Anboringsklammer 
RL;5;P33221;;4990;Flamco T+ 
RL;5;P33511;;4800;Helnor Teleskoprør 
RL;5;P33561;;4870;Teleskoprør / spindelforlenger
RL;5;P33581;;5680;Kummer Pipelife 
RL;5;P33831;;5280;Bakkekraner med tilbehør 
RL;5;P33832;;5200;Isiflo bakkekraner med tilbehø
RL;5;P33931;;4040;ACO sluk 
RL;5;P33941;;4020;Blucher Avløpsrenner 
RL;5;P33942;;4530;Blucher designsluk og renner 
RL;5;P33943;;4370;Blucher sluk/tilbehør rustfrit
RL;5;P33944;;5140;Europipe skipssluk 
RL;5;P34001;;4380;Wavin taksluk 
RL;5;P34011;;5000;Joti designsluk og renner 
RL;5;P34012;;5000;Purus-Joti sluk og tilbehør 
RL;5;P34031;;4380;Jafo sluk og vannlås 
RL;5;P34061;;4350;Diverse rist/tilbehør 
RL;5;P34121;;3680;Vakuumventiler 
RL;5;P34131;;3680;Metava rist/tilbehør 
RL;5;P34141;;3680;Farex terser 
RL;5;P34142;;3280;Inspeksjonsluker 
RL;5;P34180;;4350;ACO Avløpsrenner 
RL;5;P34201;;5910;Bolter og festemat. 
RL;5;P34202;;5540;Kruge patentband 
RL;5;P34401;;5520;Kruge gjengestag/stift 
RL;5;P34402;;5010;Kruge isoklammer 
RL;5;P34403;;5520;Kruge klammer 
RL;5;P34404;;5230;Kruge konsoller 
RL;5;P34405;;5310;Kruge plastkl./dekkskiver 
RL;5;P34406;;5520;Kruge skruer, bolter og tillbe
RL;5;P34407;;5520;Kruge skruklammer 
RL;5;P34408;;5320;Kruge sprinkelklammer 
RL;5;P34409;;5520;Kruge syrefaste klammer 
RL;5;P34701;;4860;Tyco div.festemateriell 
RL;5;P34702;;4860;Tyco rør og hengeklammer 
RL;5;P34841;;5430;Thorsman/Letti 
RL;5;P34931;;4970;Joti plastkalmmer/dekkskiver 
RL;5;P35081;;5320;Woeste plastklammer 
RL;5;P35101;;5750;A.C. klammer 
RL;5;P35102;;4540;Diverse industriklammer 
RL;5;P35131;;5390;Diverse klammer og tillbehør 
RL;5;P40121;;3750;Vannbehandling 
RL;5;P40171;;4540;Drensventil 
RL;5;P40172;;4540;Grovfilter 
RL;5;P40173;;4630;Seglass 
RL;5;P40201;;3990;Vannmålere 
RL;5;P42001;;4810;Oras armatur 
RL;5;P42002;;3850;Oras Safira/Oramix 
RL;5;P42003;;4000;Oras saga/nova 
RL;5;P42004;;4590;Oras Electra 
RL;5;P42041;;4510;Oras dusjutstyr 
RL;5;P42042;;4250;Oras tilbehør 
RL;5;P42201;;4740;Grohe armatur 
RL;5;P42231;;4860;Grohe dusjutstyr 
RL;5;P42232;;3540;Grohe tilbehør 
RL;5;P42421;;3970;HG Armatur 
RL;5;P42441;;4150;HG dusjutstyr 
RL;5;P42442;;3220;HG tilbehør reservedeler 
RL;5;P42901;;4680;Mora armatur 
RL;5;P42941;;4400;Mora dusjutstyr 
RL;5;P42942;;3810;Mora tilbehør 
RL;5;P43001;;4680;FMM 9000 serie 
RL;5;P43002;;4680;FMM armatur 
RL;5;P43031;;4070;FMM Storkjøkkenarmatur 
RL;5;P43032;;4400;FMM dusjutstyr 
RL;5;P43033;;3810;FMM tilbehør 
RL;5;P43401;;4670;GB armatur 
RL;5;P43421;;4510;GB dusjutstyr 
RL;5;P43422;;3530;GB tilbehør 
RL;5;P43851;;5190;Nil/Schell rørdeler 
RL;5;P44121;;3060;Dekkskiver forkrommet 
RL;5;P44122;;3850;Silikon/glidemiddel/hamp 
RL;5;P44221;;3800;Iqua armatur og tilbehør 
RL;5;P44511;;5580;JRGUMAT Blandeventil 
RL;5;P44521;;3590;Grundfos Blandeventiler 
RL;5;P45011;;3750;A.C. dusjutstyr 
RL;5;P45101;;3380;Diverse tilbehør 
RL;5;P45121;;5560;Avløpsrør og deler Joti 
RL;5;P45151;;5390;Diverse plastklammer 
RL;5;P45152;;4410;Faluplast rør og deler 
RL;5;P45153;;3680;Faluplast sluk 
RL;5;P45181;;4410;Dekkskiver, plastkl. osv 
RL;5;P45221;;4290;Pipelife sluk/tilbehør 
RL;5;P45222;;4370;Serres sluk/tilbehør 
RL;5;P50001;;5730;Kappilarrør 
RL;5;P50002;;5340;Kappilarrør gml.std 
RL;5;P50003;;5000;Kobberrør industri 
RL;5;P50021;;5000;Plastbelagte rør 
RL;5;P50022;;5200;Fkr. kobberrør 
RL;5;P50101;;5500;messing rørdeler 
RL;5;P50171;;4710;CuNi deler 
RL;5;P50172;;4710;CuNi rør 
RL;5;P50301;;4420;Diverse rørdeler 
RL;5;P50302;;5610;kappilar rørdeler 
RL;5;P50461;;4460;Viega Pressdeler 
RL;5;P50521;;6160;Mapress kobber deler 
RL;5;P50531;;5300;Mapress CuNi Deler 
RL;5;P50532;;4710;Mapress CuNi rør 
RL;5;P50561;;5730;A-press kobber deler 
RL;5;P50562;;5590;A-press syrefaste deler 
RL;5;P50563;;5730;A-press syrefaste rør 
RL;5;P50571;;4420;A.C. klemringskobling 
RL;5;P50581;;5000;Tectite rørdeler 
RL;5;P50661;;5400;FPL rørdeler 
